Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
49,2.0,0.0,0.0,1336.0,9.0,25.0,7882.0,0.1,400.0,0.0,0.0,1795.5557198524475,,,,,,,,,,,,,,,,,,,,,240.06196178435013,133.57396692470851,394.7876314306211,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1504.0,10.0,168.0,8050.0,0.1,4105.0,0.0,0.0,1812.9041574001312,,,,,,,,,,,,,,,,,,,,,1643.5426820112505,1225.5780501012007,3836.554101070148,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1676.0,11.0,172.0,8222.0,0.1,4375.0,0.0,0.0,1830.7885179519653,,,,,,,,,,,,,,,,,,,,,1984.6058091546604,1251.3988404130785,4041.727213525235,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1846.0,12.0,170.0,8392.0,0.1,4035.0,0.0,0.0,1848.2250921726227,,,,,,,,,,,,,,,,,,,,,1776.0853608798427,1065.7353165088646,3740.5428337751437,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1994.0,13.0,148.0,8540.0,0.1,3855.0,0.0,0.0,1863.575984954834,,,,,,,,,,,,,,,,,,,,,1627.5781319778305,995.4535547476983,3621.3575301700894,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,2175.0,14.0,181.0,8721.0,0.1,4850.0,0.0,0.0,1882.375189781189,,,,,,,,,,,,,,,,,,,,,2215.5809691220875,1109.1925911425394,4457.891169035807,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,2359.0,15.0,184.0,8905.0,0.1,5035.0,0.0,0.0,1900.95463681221,,,,,,,,,,,,,,,,,,,,,2224.8321530363933,1189.5188194373497,4634.896041027317,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,2465.0,16.0,106.0,9011.0,0.1,2835.0,0.0,0.0,1912.2088961601257,,,,,,,,,,,,,,,,,,,,,1157.2720407666557,732.8692505504127,2717.7619698564768,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,2649.0,17.0,184.0,9195.0,0.1,4275.0,0.0,0.0,1930.992821931839,,,,,,,,,,,,,,,,,,,,,1916.9877813823714,1106.2300228592915,3930.130579253573,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,2737.0,18.0,88.0,9283.0,0.1,2085.0,0.0,0.0,1939.9571223258972,,,,,,,,,,,,,,,,,,,,,942.3186884023867,562.3574992076298,2006.0861215776247,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,2930.0,19.0,193.0,9476.0,0.1,5170.0,0.0,0.0,1960.0191128253937,,,,,,,,,,,,,,,,,,,,,2661.3213648147607,1236.8987805664385,4665.691694287639,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,3003.0,20.0,73.0,9549.0,0.1,1360.0,0.0,0.0,1967.7344205379486,,,,,,,,,,,,,,,,,,,,,732.1564053238201,426.4621859430078,1309.1696124666823,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,120.0,1.0,120.0,9669.0,0.1,2445.0,0.0,0.0,2436.060291528702,,,,,,,,,,,,,,,,,,,,,1225.790720309843,644.3037785265178,2302.5078267084104,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,307.0,2.0,187.0,9856.0,0.1,3830.0,0.0,0.0,2455.466552734375,,,,,,,,,,,,,,,,,,,,,1896.8124131805077,1029.6042132665664,3482.2571106995347,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,436.0,3.0,129.0,9985.0,0.1,3060.0,0.0,0.0,2468.9931824207306,,,,,,,,,,,,,,,,,,,,,1543.344079642916,821.3874554030214,2866.6390251373136,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,624.0,4.0,188.0,10173.0,0.1,4415.0,0.0,0.0,2488.170778989792,,,,,,,,,,,,,,,,,,,,,2071.358259104247,1281.3778390356192,4033.647909459412,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
